WKT,id,sname
POINT (14.1559000138297 47.8318999982874),189,Klaus
POINT (14.1599999974385 47.840900008621),190,
POINT (16.172999999846 47.8318000069689),191,Bad Fischau
POINT (16.1794000118622 47.834900008426),192,
POINT (13.0319999956908 47.8297000105841),193,
POINT (13.0292999957032 47.8314000015032),194,Hagenau
POINT (13.0211000152575 47.8384999959125),195,Bergheim
POINT (13.0144000047508 47.8444000052105),196,Schlachthof
POINT (13.0051999911285 47.8532000103628),197,Muntigl
POINT (13.0054999863101 47.8609000200667),198,Siggerwiesen
POINT (13.0005999981033 47.8783000116956),199,Anthering
POINT (15.3111000043022 47.8658000096034),200,Annaberg
POINT (15.3048000136944 47.8690999955751),201,
POINT (12.9916000005254 47.8912000107157),202,Acharting
POINT (12.9653000069659 47.9239999965595),203,Weitwörth-Nußdorf
POINT (12.9574000007167 47.9295000226188),204,Oichtensiedlung
POINT (12.9429000017154 47.9372999915868),205,Oberndorf Markt
POINT (12.9448000043414 47.9418000120251),206,Oberndorf bei Salzburg
POINT (12.9427999869461 47.9527999979551),207,Ziegelhaiden
POINT (12.9347000082371 47.9687999895394),208,Arnsdorf
POINT (12.9236000084577 47.9804000131539),209,
POINT (16.2377000044485 47.8301999989652),210,
POINT (16.2394000117617 47.837599985627),211,Wiener Neustadt Nord
POINT (16.2402999859166 47.8424000086698),212,
POINT (13.0624999850467 47.8308599947979),213,
POINT (13.0656999955724 47.8378999962741),214,Salzburg-Maria Plain
POINT (13.0919999845022 47.8574000059455),215,Hallwang-Elixhausen
POINT (13.117099989433 47.8733000007611),216,Eugendorf
POINT (13.1191000031751 47.8868000170936),217,
POINT (16.4610000023963 47.8320999827376),218,
POINT (16.4602000000432 47.8331999990626),219,Müllendorf
POINT (13.7835999898618 47.8325000013669),220,
POINT (13.7836999945192 47.8340000014157),221,
POINT (15.2867000084522 47.8353999968071),222,
POINT (15.295199985458 47.8389999899429),223,
POINT (14.9233000129331 47.8356000061218),224,Kogelsbach
POINT (14.9426999900145 47.8084000014407),225,Göstling an der Ybbs
POINT (14.9757000099817 47.8164999892118),226,Stiegengraben-Ybbstalerhütte
POINT (14.9748000029714 47.8161000054881),227,
POINT (15.0149999938666 47.8459000149036),228,Kasten
POINT (15.0179999904129 47.8492000112178),229,
POINT (13.7829999968235 47.8360999945028),230,
POINT (13.783599987195 47.8388000124224),231,Traunkirchen Ort
POINT (16.4127999936278 47.9514999890542),232,Weigelsdorf
POINT (16.4081000108086 47.9613000099283),233,Ebreichsdorf
POINT (14.9232000082758 47.8385000015619),234,
POINT (14.8814999922618 47.8390999946003),235,Sankt Georgen am Reith
POINT (14.7727000222966 47.8079000002726),236,Großhollenstein
POINT (14.7580999982569 47.8238999847982),237,Saimannslehen
POINT (14.8349999869635 47.8207000107078),238,Blamau
POINT (14.7739000010974 47.8066999865663),239,
POINT (14.7564999907709 47.8288999887723),240,Kleinhollenstein
POINT (14.7628000028171 47.8455000079472),241,Hohenlehen
POINT (14.871799988195 47.8320999880877),242,Obereinöd
POINT (14.7997999914566 47.8694000115432),243,Seeburg
POINT (14.8224999956955 47.8838000169961),244,Opponitz
POINT (14.8369000031445 47.9010999849797),245,
